Weekday,Date,Time,Day,Month,Year
Monday, 15 January 1900, 08:07:30 pm,15,1,1900
Wednesday, 14 February 1900, 02:50:12 pm,14,2,1900
Friday, 16 March 1900, 09:11:48 am,16,3,1900
Sunday, 15 April 1900, 02:02:06 am,15,5,1900
Monday, 14 May 1900, 04:36:36 pm,14,5,1900
Wednesday, 13 June 1900, 04:38:36 am,13,6,1900
Thursday, 12 July 1900, 02:21:54 pm,12,7,1900
Friday, 10 August 1900, 10:29:54 pm,10,8,1900
Sunday, 9 September 1900, 06:06:06 am,9,9,1900
Monday, 8 October 1900, 02:18:06 pm,8,10,1900
Tuesday, 6 November 1900, 11:59:36 pm,6,11,1900
Thursday, 6 December 1900, 11:38:06 am,6,12,1900
Saturday, 5 January 1901, 01:13:24 am,5,1,1901
Sunday, 3 February 1901, 04:29:42 pm,3,2,1901
Tuesday, 5 March 1901, 09:04:06 am,5,3,1901
Thursday, 4 April 1901, 02:20:06 am,4,5,1901
Friday, 3 May 1901, 07:18:42 pm,3,5,1901
Sunday, 2 June 1901, 10:52:42 am,2,6,1901
Tuesday, 2 July 1901, 12:17:36 am,2,7,1901
Wednesday, 31 July 1901, 11:33:42 am,31,7,1901
Thursday, 29 August 1901, 09:20:48 pm,29,8,1901
Saturday, 28 September 1901, 06:35:42 am,28,9,1901
Sunday, 27 October 1901, 04:06:12 pm,27,10,1901
Tuesday, 26 November 1901, 02:17:30 am,26,11,1901
Wednesday, 25 December 1901, 01:15:48 pm,25,12,1901
Friday, 24 January 1902, 01:06:06 am,24,1,1902
Saturday, 22 February 1902, 02:03:18 pm,22,2,1902
Monday, 24 March 1902, 04:21:12 am,24,3,1902
Tuesday, 22 April 1902, 07:49:30 pm,22,5,1902
Thursday, 22 May 1902, 11:46:00 am,22,5,1902
Saturday, 21 June 1902, 03:16:42 am,21,6,1902
Sunday, 20 July 1902, 05:45:00 pm,20,7,1902
Tuesday, 19 August 1902, 07:03:18 am,19,8,1902
Wednesday, 17 September 1902, 07:23:24 pm,17,9,1902
Friday, 17 October 1902, 07:01:06 am,17,10,1902
Saturday, 15 November 1902, 06:06:24 pm,15,11,1902
Monday, 15 December 1902, 04:47:24 am,15,12,1902
Tuesday, 13 January 1903, 03:17:12 pm,13,1,1903
Thursday, 12 February 1903, 01:57:42 am,12,2,1903
Friday, 13 March 1903, 01:12:48 pm,13,3,1903
Sunday, 12 April 1903, 01:18:18 am,12,5,1903
Monday, 11 May 1903, 02:17:54 pm,11,5,1903
Wednesday, 10 June 1903, 04:07:54 am,10,6,1903
Thursday, 9 July 1903, 06:43:06 pm,9,7,1903
Saturday, 8 August 1903, 09:54:12 am,8,8,1903
